architecture_id	total_junctions	min_rank	max_rank	avg_rank	num_strong_0.5	num_strong_1.0	num_strong_2.0
C01_H01_B207	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B208	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B209	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B210	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B211	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B212	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B213	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B214	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B215	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B216	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B217	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B218	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B219	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B220	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B221	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B222	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B223	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B224	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B225	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B226	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B227	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B228	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B229	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B230	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B231	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B232	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B233	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B234	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B235	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B236	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B237	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B238	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B239	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B240	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B241	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B242	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B243	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B244	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B245	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B246	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B247	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B248	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B249	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B250	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B251	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B252	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B253	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B254	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B255	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B256	72	0.0596	86.6667	30.61370833333333	1	4	6
